category,role,text,listener_empathy,speaker_changeEmotion,terminate,situation,speaker_emotion,id
기쁨,자녀,"엄마, 저 오늘 열린 마라톤 대회에서 난생처음으로 마라톤을 완주했어요. 전 제가 해낼 줄 몰랐는데, 이렇게 좋은 결과를 얻게 되어 너무 기뻐요.",,,False,,,BE22028986
기쁨,부모,그 힘들다는 마라톤을 완주했다니 우리 딸 정말 대단하구나. 그 성취감이 실로 어마어마할 것 같아. 우리 딸이 정말 기분 좋겠다.,격려,,False,,,BE22028986
기쁨,자녀,10km 마라톤이었지만 난생처음 해보는 마라톤이라서 걱정을 많이 했었거든요. 근데 모두 기우였을 만큼 제가 정말 잘 뛰었어요. 결승선에 도착하니 해냈다는 생각에 정말 행복해서 웃음이 나더라고요.,,,False,,,BE22028986
기쁨,부모,우리 딸이 마라톤 완주까지 해냈는데 앞으로 못할 일이 없겠구나. 오로지 우리 딸의 노력으로 만들어진 결과이니만큼 정말 행복하겠다. 듣는 엄마까지 절로 웃음이 나네.,"격려,동조",,False,,,BE22028986
기쁨,자녀,그렇게 말씀해주셔서 감사해요. 이번 마라톤을 통해서 저의 의지가 이렇게 강하다는 것을 처음 알았어요. 마라톤 완주에 성공하니까 기념품으로 메달을 받았는데 저에겐 마치 올림픽 메달처럼 느껴졌어요. 너무 기뻐요.,,,False,,,BE22028986
기쁨,부모,그 값진 메달을 평생 보관해야 할 것 같은데. 우리 딸이 정말 행복해 하는 게 느껴져서 엄마도 너무 기분이 좋아. 좋은 기운이 솟아날 것 같구나.,"격려,동조",,False,,,BE22028986
기쁨,자녀,엄마가 제 마라톤 도전을 응원해주시고 격려해주신 덕분이죠. 제가 출전해도 될까 하는 의문을 가졌을 때 엄마가 저에게 강력한 믿음을 심어주셨잖아요. 엄마 덕분에 이렇게 제가 완주하게 됐어요.,,,False,,,BE22028986
기쁨,부모,"물론 엄마의 응원 덕분도 있겠지만, 우리 딸이 워낙 강인하고 끈질기잖아. 포기하지 않는 집념이 오늘의 완주를 만들어낸 거란다. 게다가 난생처음 한 마라톤에서 포기하지 않고 완주를 했다니 정말 칭찬할 일인걸.","격려,동조",,False,,,BE22028986
기쁨,자녀,아낌없는 칭찬을 해주시니 너무 기분이 좋네요. 마라톤을 완주하고 나니까 세상에 대해 자신감이 막 샘솟는 것 같아요.,,,False,,,BE22028986
기쁨,부모,우리 딸은 무슨 일이든 충분히 해낼 아이이니 자신감 가져도 된단다. 다시 한번 마라톤 완주 축하한단다.,격려,,False,,,BE22028986
